x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];du/dx [S];du/dy [S];dv/dx [S];dv/dy [S];Vorticity w_z (dv/dx - du/dy) [S];|Vorticity| [S];Divergence 2D (du/dx + dv/dy) [S];Swirling strength 2D (L_ci) [S^2];Correlation value [];Particle size [counts];Peak ratio [];Uncertainty V [pixel];Uncertainty Vx [pixel];Uncertainty Vy [pixel];Uncertainty |V| [pixel]
1320;8;-0.358459;0.629102;0.72406;-0.00159305;0.00913713;0.000136986;0.00227528;-0.00900014;0.00900014;0.000682231;0;0;1.25882;0;0;0;0;0
1336;8;-0.391309;0.634906;0.745807;-0.00175292;0.003566;0.000757899;0.0101982;-0.0028081;0.0028081;0.0084453;0;0;1.13878;0;0;0;0;0
1352;8;-0.412584;0.651455;0.771116;-0.00145744;0.00238382;0.000932864;0.00802486;-0.00145096;0.00145096;0.00656743;0;0;1.09452;0;0;0;0;0
1368;8;-0.442505;0.660716;0.795208;-0.00240156;-0.00664646;0.000103405;-0.000544846;0.00674987;0.00674987;-0.00294641;0;0;1.21242;0;0;0;0;0
1384;8;-0.488199;0.656474;0.818105;-0.00299381;-0.00524193;-0.000240317;-0.00304955;0.00500161;0.00500161;-0.00604336;0;0;1.3855;0;0;0;0;0
1400;8;-0.535129;0.655202;0.845963;-0.00295401;0.0101801;-5.67275e-05;0.00323767;-0.0102368;0.0102368;0.000283664;0;0;1.36883;0;0;0;0;0
1416;8;-0.578761;0.653487;0.872932;-0.00209951;0.0110022;-0.000166208;0.00233513;-0.0111684;0.0111684;0.000235624;0;0;1.33782;0;0;0;0;0
1432;8;-0.599832;0.647712;0.882796;-0.000451296;0.00161733;-0.000815689;-0.000128619;-0.00243302;0.00243302;-0.000579916;1.29321e-06;0;0.988529;0;0;0;0;0
1448;8;-0.60272;0.628464;0.870769;-0.00123557;0.000969589;-0.00123897;0.00758339;-0.00220856;0.00220856;0.00634781;0;0;1.09565;0;0;0;0;0
1464;8;-0.640147;0.611634;0.885372;-0.00229732;0.00868916;-0.000732195;0.00728592;-0.00942135;0.00942135;0.0049886;0;0;1.12014;0;0;0;0;0
